hhid,hhsize,familysize1,familysize2,familysize3,familysize4,familysize5,s1q2,s1q5,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q8,s6q9,s6q11,s6q13,s6q14,s7q1,s7q2,s7q3,s7q4,s7q5,s7q6,s7q7,s7q8,s7q9,s7q10,s7q11,s7q12,s7q13,s7q14,s7q15,s7q16,s7q17,s7q18,s7q19,s7q20,s8q1,s8q2,s8q3,s8q4,s8q4_1,s8q4_2,s8q4_3,s8q5,s8q6,s9q1,s10q1,s10q2,s10q3,s10q4,s10q5,s10q6,s10q7,s10q8,s10q9,s11q1,s11q1_a,s11q2,s11q2_a,s11q3,s11q3_a,s11q4,s11q4_a,s11q5,s11q5_a,s11q6,s11q6_a,s11q7,s11q7_a,s11q8,s11q8_a,s11q9,s11q9_a,s11q10,s11q10_a,crowdindex_room,improved_water,improved_sanitation,LCS_index,asset_idx,hh_fcon,hh_nfcon,hh_con,hh_con2011,hh_con2011_pd,pline_ipl,poorIPL,pgi,spg,weight,popweight
"0301",8,8,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine without slab / Open pit","Yes","Biogas lantern","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Strongly agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","No","Yes",,"No","No, because it wasn't necessary.","Yes",,"Yes",,"Yes",,"No","No, because it wasn't necessary.","No","Not applicable","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.41419452,3637.8262,341.90463,3979.7307,70.424988,2.3153419,1.9,"Non-poor",0,0,5.5571685,44.457348
"0308",3,1,1,1,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine without slab / Open pit","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.40683225,10404.153,673.0968,11077.25,196.02209,6.444562,1.9,"Non-poor",0,0,5.5571685,16.671505
"0314",9,9,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Strongly disagree","Agree","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Agree","Yes","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.05682662,2197.4841,1066.9399,3264.4243,57.766979,1.8991883,1.9,"Non-poor",.08007585,.00641214,5.5571685,50.014515
"0332",8,8,0,0,0,0,"Village 2","Yes",2,5,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Solar Energy","No",0,"No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","1 - 2 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",1.9340339,1025.5144,156.11584,1181.6302,20.91003,.68745303,1.9,"Poor",.64267612,.41303259,5.5571685,44.457348
"0337",8,8,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Yes","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"Yes",,"No","No, because it wasn't necessary.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.53117871,2327.4116,135.25433,2462.666,43.579132,1.4327387,1.9,"Poor",.29300016,.08584909,5.5571685,44.457348
"0353",2,2,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Yes","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.05682662,10059.114,1070.0057,11129.12,196.93997,6.4747391,1.9,"Non-poor",0,0,5.5571685,11.114337
"0356",6,6,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Agree","Disagree","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","Yes",,"No","Not applicable","No","Not applicable","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",-.53117871,3508.1921,791.2121,4299.4043,76.081902,2.5013227,1.9,"Non-poor",0,0,5.5571685,33.34301
"0357",2,2,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","Yes",,"Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.88854659,4170.5679,543.84625,4714.4146,83.42588,2.7427688,1.9,"Non-poor",0,0,5.5571685,11.114337
"0360",1,1,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Yes","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","1 - 2 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",1.6700631,20338.359,10514.301,30852.66,545.96613,17.949572,1.9,"Non-poor",0,0,5.5571685,5.5571685
"0367",4,4,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly disagree",,,"No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-1.072893,,,,,,,,,,5.5571685,22.228674
"0368",6,6,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Agree","Yes","No","Not applicable","No","Not applicable","No","Not applicable","Yes",,"No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,2908.3931,319.70181,3228.095,57.1241,1.8780526,1.9,"Non-poor",.06268712,.00392968,5.5571685,33.34301
"0381",4,4,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Tin Cans","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",.45892572,2458.4348,431.8118,2890.2466,51.145565,1.6814981,1.9,"Poor",.15948784,.02543637,5.5571685,22.228674
"0388",5,5,0,0,0,0,"Village 2","Yes",2,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree",,"Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-.87213391,3319.0654,418.43304,3737.4985,66.138466,2.1744151,1.9,"Non-poor",0,0,5.5571685,27.785843
"0394",5,5,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Strongly agree","Disagree","Agree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",-1.2239152,2360.7671,600.8855,2961.6526,52.409157,1.7230407,1.9,"Poor",.12862736,.016545,5.5571685,27.785843
"0397",9,9,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","No","Electricity Mains","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Yes","No","Not applicable","No","Not applicable","Yes",,"No","Not applicable","Yes",,"No","Not applicable","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.04946432,1672.9452,1279.1429,2952.0881,52.239906,1.7174764,1.9,"Poor",.1398975,.01957131,5.5571685,50.014515
"0401",7,7,0,0,0,0,"Village 2","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Disagree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Strongly disagree","Neither agree nor disagree","Agree","Yes","No","No, because I did not have this asset to sell.","Yes",,"Yes",,"Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.88854659,2908.5764,1054.0687,3962.645,70.122635,2.3054018,1.9,"Non-poor",0,0,5.5571685,38.900181
"0410",3,3,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Yes","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",1.3631458,6068.9404,773.43158,6842.3721,121.08204,3.9807794,1.9,"Non-poor",0,0,5.5571685,16.671505
"0418",6,6,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Agree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,1277.3064,221.72351,1499.0299,26.526707,.87211096,1.9,"Poor",.54510832,.29714307,5.5571685,33.34301
"0426",5,5,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,"Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.81143051,4261.1943,1180.7444,5441.9385,96.300095,3.1660304,1.9,"Non-poor",0,0,5.5571685,27.785843
"0433",6,5,1,0,0,0,"Village 2","Yes",3,3,"Other","Corrugated iron sheets","Plastic or tent material","Piped into plot / yard","No","Pit latrine with slab","No","Battery lamp/Torch/Phone","No",0,"No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",.49738789,2513.1541,410.53302,2923.687,51.73732,1.700953,1.9,"Poor",.14098345,.01987633,5.5571685,33.34301
"0440",1,1,0,0,0,0,"Village 2","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Disagree","Neither agree nor disagree","No","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","Not applicable","1 - 2 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",.14560665,22556.178,1548.2335,24104.412,426.54965,14.02355,1.9,"Non-poor",0,0,5.5571685,5.5571685
"0452",12,12,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","No","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","Yes",,"Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","Yes",,"Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.40683225,1083.3181,304.67468,1387.9928,24.561804,.80751139,1.9,"Poor",.59519166,.35425311,5.5571685,66.68602
"0454",11,8,3,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Yes","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"No","Not applicable","No","No, because it wasn't necessary.","Yes",,"Yes",,"Yes",,"More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Emergency",-.87213391,8087.7637,1169.0289,9256.793,163.80743,5.3854499,1.9,"Non-poor",0,0,5.5571685,61.128853
"0461",8,8,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",.51492697,2408.8376,466.34579,2875.1836,50.879009,1.6727345,1.9,"Poor",.1650991,.02725771,5.5571685,44.457348
"0464",6,6,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","No","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-1.2295018,2801.3447,197.95293,2999.2976,53.075321,1.7449421,1.9,"Poor",.14433277,.02083195,5.5571685,33.34301
"0465",6,6,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","No","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,1015.2488,116.16106,1131.4099,20.021334,.65823567,1.9,"Poor",.6627025,.43917459,5.5571685,33.34301
"0468",2,2,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",-.41419452,8309.1436,1255.0057,9564.1494,169.24638,5.5642648,1.9,"Non-poor",0,0,5.5571685,11.114337
"0478",6,6,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Paraffin / pressure lamp","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","No","No, because it wasn't necessary.","Yes",,"Yes",,"Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-1.1687984,4959.6816,521.0011,5480.6826,96.985703,3.1885712,1.9,"Non-poor",0,0,5.5571685,33.34301
"0483",7,7,0,0,0,0,"Village 3","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Strongly agree","Agree","Yes","No","No, because it wasn't necessary.","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",.37304145,2320.0859,197.57872,2517.6646,44.552383,1.4647359,1.9,"Poor",.27245301,.07423064,5.5571685,38.900181
"0488",5,5,0,0,0,0,"Village 3","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine without slab / Open pit",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","No","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,4372.7383,182.88467,4555.623,80.615921,2.6503866,1.9,"Non-poor",0,0,5.5571685,27.785843
